Date Time,dissolved oxygen(ppm)
9/14/2019 16:04,7.56
9/14/2019 16:04,7.57
9/14/2019 16:05,7.57
9/14/2019 16:36,7.16
9/14/2019 16:37,7.45
9/14/2019 16:37,7.5
9/14/2019 16:37,7.51
9/14/2019 16:38,7.53
9/14/2019 16:38,7.57
9/14/2019 16:39,7.56
9/14/2019 16:39,7.55
9/14/2019 16:40,7.56
9/14/2019 16:40,7.56
9/14/2019 16:40,7.55
9/14/2019 16:41,7.55
9/14/2019 16:41,7.55
9/14/2019 16:42,7.57
9/14/2019 16:42,7.57
9/14/2019 16:43,7.58
9/14/2019 16:43,7.58
9/14/2019 16:43,7.58
9/14/2019 16:44,7.58
9/14/2019 16:44,7.57
9/14/2019 16:45,7.57
9/14/2019 16:45,7.57
9/14/2019 16:46,7.58
9/14/2019 16:46,7.58
9/14/2019 16:46,7.58
9/14/2019 16:47,7.57
9/14/2019 16:47,7.56
9/14/2019 16:48,7.56
9/14/2019 16:48,7.57
9/14/2019 16:48,7.64
9/14/2019 16:49,7.55
9/14/2019 16:49,7.56
9/14/2019 16:50,7.58
9/14/2019 16:50,7.56
9/14/2019 16:51,7.55
9/14/2019 16:51,7.56
9/14/2019 16:51,7.56
9/14/2019 16:52,7.56
9/14/2019 16:52,7.58
9/14/2019 16:53,7.58
9/14/2019 16:53,7.57
9/14/2019 16:54,7.59
9/14/2019 16:54,7.58
9/14/2019 16:54,7.59
9/14/2019 16:55,7.59
9/14/2019 16:55,7.59
